"TIMET","MSDT","MACHINE","CPUBUSY","IDLE","WAITIO","MEMTOTAL","MEMUSED","MEMFREE"
1325055600,"12/28/2011   2:00:00","host0",1.5,98.3,0.2,32909536,21404368.5,11505167.5
1325059200,"12/28/2011   3:00:00","host0",1.1,98.8,0.1,32909536,21339699.2,11569836.8
1325062800,"12/28/2011   4:00:00","host0",1.4,98.4,0.1,32909536,21351727.9,11557808.1
1325066400,"12/28/2011   5:00:00","host0",1,98.9,0.1,32909536,21323454.8,11586081.2
1325070000,"12/28/2011   6:00:00","host0",1,98.9,0.1,32909536,21317583.3,11591952.7
1325073600,"12/28/2011   7:00:00","host0",1,98.9,0.1,32909536,21320150.4,11589385.6
1325077200,"12/28/2011   8:00:00","host0",1,98.9,0.1,32909536,21322249.9,11587286.1
1325080800,"12/28/2011   9:00:00","host0",1,98.9,0.1,32909536,21324452.8,11585083.2
1325084400,"12/28/2011  10:00:00","host0",1,98.9,0.1,32909536,21331975.9,11577560.1
1325088000,"12/28/2011  11:00:00","host0",1,98.9,0.1,32909536,21359990.5,11549545.5
1325091600,"12/28/2011  12:00:00","host0",1,98.9,0.1,32909536,21442476,11467060
1325095200,"12/28/2011  13:00:00","host0",1,98.9,0.1,32909536,21466284.7,11443251.3
1325098800,"12/28/2011  14:00:00","host0",1,98.9,0.1,32909536,21471587.1,11437948.9
1325102400,"12/28/2011  15:00:00","host0",1,98.9,0.1,32909536,21473651.7,11435884.3
1325106000,"12/28/2011  16:00:00","host0",1,98.9,0.1,32909536,21490875.2,11418660.8
1325109600,"12/28/2011  17:00:00","host0",1,98.9,0.1,32909536,21502310.9,11407225.1
1325113200,"12/28/2011  18:00:00","host0",1,98.9,0.1,32909536,21501427.2,11408108.8
1325116800,"12/28/2011  19:00:00","host0",1,98.9,0.1,32909536,21508711.5,11400824.5
